activity_id,week,location_id,co_share_group
A001,21,PLAT:BET:S15:EB,b1
A001,21,PLAT:BET:S16:EB,b1
A001,21,PLAT:BET:S17:EB,b1
A001,21,SEC:BET:S15_S16:EB,b1
A001,21,SEC:BET:S16_S17:EB,b1
A001,22,PLAT:BET:S15:EB,b1
A001,22,PLAT:BET:S16:EB,b1
A001,22,PLAT:BET:S17:EB,b1
A001,22,SEC:BET:S15_S16:EB,b1
A001,22,SEC:BET:S16_S17:EB,b1
A002,18,PLAT:BET:S11:WB,b1
A002,18,PLAT:BET:S12:WB,b1
A002,18,PLAT:BET:S13:WB,b1
A002,18,SEC:BET:S11_S12:WB,b1
A002,18,SEC:BET:S12_S13:WB,b1
A003,11,PLAT:BET:H01:EB,b1
A003,11,PLAT:BET:H02:EB,b1
A003,11,PLAT:BET:S15:EB,b1
A003,11,PLAT:BET:S16:EB,b1
A003,11,SEC:BET:H01_H02:EB,b1
A003,11,SEC:BET:H02_S15:EB,b1
A003,11,SEC:BET:S15_S16:EB,b1
A003,12,PLAT:BET:H01:EB,b1
A003,12,PLAT:BET:H02:EB,b1
A003,12,PLAT:BET:S15:EB,b1
A003,12,PLAT:BET:S16:EB,b1
A003,12,SEC:BET:H01_H02:EB,b1
A003,12,SEC:BET:H02_S15:EB,b1
A003,12,SEC:BET:S15_S16:EB,b1
A003,13,PLAT:BET:H01:EB,b1
A003,13,PLAT:BET:H02:EB,b1
A003,13,PLAT:BET:S15:EB,b1
A003,13,PLAT:BET:S16:EB,b1
A003,13,SEC:BET:H01_H02:EB,b1
A003,13,SEC:BET:H02_S15:EB,b1
A003,13,SEC:BET:S15_S16:EB,b1
A003,14,PLAT:BET:H01:EB,b1
A003,14,PLAT:BET:H02:EB,b1
A003,14,PLAT:BET:S15:EB,b1
A003,14,PLAT:BET:S16:EB,b1
A003,14,SEC:BET:H01_H02:EB,b1
A003,14,SEC:BET:H02_S15:EB,b1
A003,14,SEC:BET:S15_S16:EB,b1
A003,17,PLAT:BET:H01:EB,b1
A003,17,PLAT:BET:H02:EB,b1
A003,17,PLAT:BET:S15:EB,b1
A003,17,PLAT:BET:S16:EB,b1
A003,17,SEC:BET:H01_H02:EB,b1
A003,17,SEC:BET:H02_S15:EB,b1
A003,17,SEC:BET:S15_S16:EB,b1
A004,18,PLAT:ALP:H01:EB,b1
A004,18,PLAT:ALP:S03:EB,b1
A004,18,PLAT:ALP:S04:EB,b1
A004,18,SEC:ALP:S03_S04:EB,b1
A004,18,SEC:ALP:S04_H01:EB,b1
A004,22,PLAT:ALP:H01:EB,b1
A004,22,PLAT:ALP:S03:EB,b1
A004,22,PLAT:ALP:S04:EB,b1
A004,22,SEC:ALP:S03_S04:EB,b1
A004,22,SEC:ALP:S04_H01:EB,b1
A004,23,PLAT:ALP:H01:EB,b1
A004,23,PLAT:ALP:S03:EB,b1
A004,23,PLAT:ALP:S04:EB,b1
A004,23,SEC:ALP:S03_S04:EB,b1
A004,23,SEC:ALP:S04_H01:EB,b1
A006,3,PLAT:ALP:H01:WB,b1
A006,3,PLAT:ALP:H02:WB,b1
A006,3,PLAT:ALP:S03:WB,b1
A006,3,PLAT:ALP:S04:WB,b1
A006,3,SEC:ALP:H01_H02:WB,b1
A006,3,SEC:ALP:S03_S04:WB,b1
A006,3,SEC:ALP:S04_H01:WB,b1
A006,5,PLAT:ALP:H01:WB,b1
A006,5,PLAT:ALP:H02:WB,b1
A006,5,PLAT:ALP:S03:WB,b1
A006,5,PLAT:ALP:S04:WB,b1
A006,5,SEC:ALP:H01_H02:WB,b1
A006,5,SEC:ALP:S03_S04:WB,b1
A006,5,SEC:ALP:S04_H01:WB,b1
A007,15,PLAT:BET:H01:EB,b1
A007,15,PLAT:BET:H02:EB,b1
A007,15,SEC:BET:H01_H02:EB,b1
A007,18,PLAT:BET:H01:EB,b1
A007,18,PLAT:BET:H02:EB,b1
A007,18,SEC:BET:H01_H02:EB,b1
A007,20,PLAT:BET:H01:EB,b1
A007,20,PLAT:BET:H02:EB,b1
A007,20,SEC:BET:H01_H02:EB,b1
A007,21,PLAT:BET:H01:EB,b1
A007,21,PLAT:BET:H02:EB,b1
A007,21,SEC:BET:H01_H02:EB,b1
A007,22,PLAT:BET:H01:EB,b1
A007,22,PLAT:BET:H02:EB,b1
A007,22,SEC:BET:H01_H02:EB,b1
A007,23,PLAT:BET:H01:EB,b1
A007,23,PLAT:BET:H02:EB,b1
A007,23,SEC:BET:H01_H02:EB,b1
A008,17,PLAT:BET:S17:EB,b1
A008,17,PLAT:BET:S18:EB,b1
A008,17,SEC:BET:S17_S18:EB,b1
A008,18,PLAT:BET:S17:EB,b1
A008,18,PLAT:BET:S18:EB,b1
A008,18,SEC:BET:S17_S18:EB,b1
A008,20,PLAT:BET:S17:EB,b1
A008,20,PLAT:BET:S18:EB,b1
A008,20,SEC:BET:S17_S18:EB,b1
A008,25,PLAT:BET:S17:EB,b1
A008,25,PLAT:BET:S18:EB,b1
A008,25,SEC:BET:S17_S18:EB,b1
A008,26,PLAT:BET:S17:EB,b1
A008,26,PLAT:BET:S18:EB,b1
A008,26,SEC:BET:S17_S18:EB,b1
A009,5,PLAT:ALP:S05:EB,b1
A009,5,PLAT:ALP:S06:EB,b1
A009,5,SEC:ALP:S05_S06:EB,b1
A009,6,PLAT:ALP:S05:EB,b1
A009,6,PLAT:ALP:S06:EB,b1
A009,6,SEC:ALP:S05_S06:EB,b1
A009,7,PLAT:ALP:S05:EB,b1
A009,7,PLAT:ALP:S06:EB,b1
A009,7,SEC:ALP:S05_S06:EB,b1
A009,8,PLAT:ALP:S05:EB,b1
A009,8,PLAT:ALP:S06:EB,b1
A009,8,SEC:ALP:S05_S06:EB,b1
A009,9,PLAT:ALP:S05:EB,b1
A009,9,PLAT:ALP:S06:EB,b1
A009,9,SEC:ALP:S05_S06:EB,b1
