activity_id,access_seq,week,eclo,access_night
A001,1,21,0,1
A001,2,22,0,1
A001,3,23,0,1
A002,1,1,0,1
A002,2,2,0,1
A002,3,3,0,1
A002,4,4,0,1
A002,5,5,0,1
A002,6,6,0,1
A002,7,7,0,1
A002,8,8,0,1
A002,9,9,0,1
A002,10,10,0,1
A002,11,11,0,1
A002,12,12,0,1
A002,13,13,0,1
A002,14,14,0,1
A002,15,15,0,1
A002,16,16,0,1
A002,17,17,0,1
A002,18,18,0,1
A002,19,19,0,1
A002,20,20,0,1
A002,21,21,0,1
A002,22,22,0,1
A002,23,23,0,1
A003,1,11,0,1
A003,2,12,0,1
A003,3,13,0,1
A003,4,14,0,1
A003,5,20,0,1
A004,1,21,0,2
A004,2,22,0,2
A004,3,23,0,2
A006,1,2,0,1
A006,2,3,0,1
A006,3,4,0,1
A006,4,5,0,1
A006,5,6,0,1
A006,6,7,0,1
A006,7,8,0,1
A006,8,9,0,1
A006,9,10,0,1
A006,10,11,0,2
A006,11,12,0,2
A007,1,16,0,1
A007,2,17,0,1
A007,3,18,0,1
A007,4,20,0,2
A007,5,21,0,2
A007,6,22,0,2
A007,7,23,0,2
A008,1,16,0,1
A008,2,17,0,1
A008,3,18,0,1
A008,4,19,0,1
A008,5,20,0,1
A009,1,2,0,1
A009,2,3,0,1
A009,3,4,0,1
A009,4,5,0,1
A009,5,6,0,1
A009,6,7,0,1
A009,7,8,0,1
A009,8,9,0,1
A009,9,10,0,1
A009,10,11,0,1
A009,11,12,0,1
A009,12,13,0,1
A009,13,14,0,1
A009,14,15,0,1
A011,1,15,0,2
A011,2,16,0,2
A011,3,20,0,2
A012,1,2,0,2
A012,2,3,0,2
A012,3,4,0,2
A012,4,5,0,2
A012,5,6,0,2
A012,6,7,0,2
A012,7,8,0,2
A012,8,9,0,2
A012,9,10,0,2
A012,10,11,0,2
A012,11,12,0,2
A012,12,13,0,2
A012,13,14,0,2
A012,14,15,0,3
A012,15,16,0,3
A012,16,17,0,2
A012,17,18,0,2
A013,1,22,0,1
A013,2,23,0,1
A013,3,24,0,1
A013,4,25,0,1
A013,5,26,0,1
A014,1,13,0,1
A014,2,14,0,1
A014,3,15,0,1
A014,4,16,0,1
A014,5,17,0,1
A014,6,18,0,1
A014,7,19,0,1
A014,8,20,0,1
A014,9,21,0,1
A014,10,22,0,1
A014,11,23,0,1
A014,12,24,0,1
A014,13,25,0,1
A014,14,26,0,1
A017,1,20,0,2
A017,2,21,0,2
A017,3,22,0,2
A017,4,23,0,2
A017,5,24,0,2
A017,6,25,0,2
A017,7,26,0,2
A019,1,11,0,1
A019,2,12,0,1
A019,3,13,0,2
A019,4,14,0,2
A020,1,13,0,3
A020,2,14,0,3
A020,3,15,0,2
A020,4,16,0,2
A020,5,17,0,2
A020,6,18,0,2
A020,7,22,0,3
A020,8,23,0,3
A020,9,24,0,3
A020,10,25,0,3
A020,11,26,0,3
A021,1,3,0,1
A021,2,4,0,1
A021,3,5,0,1
A021,4,6,0,1
A021,5,7,0,1
A021,6,8,0,1
A021,7,9,0,1
A021,8,10,0,1
A021,9,11,0,1
A021,10,12,0,1
A021,11,13,0,1
A021,12,14,0,1
A021,13,15,0,1
A021,14,16,0,1
A021,15,17,0,1
A021,16,18,0,1
A021,17,19,0,1
A021,18,20,0,1
A021,19,21,0,1
A021,20,22,0,1
A021,21,23,0,1
A021,22,24,0,1
A021,23,25,0,1
A021,24,26,0,1
A021,25,27,0,1
A021,26,28,0,1
A021,27,29,0,1
A023,1,22,0,2
A023,2,23,0,2
A023,3,24,0,2
A023,4,25,0,2
A023,5,26,0,2
A023,6,27,0,2
A023,7,28,0,2
A023,8,29,0,2
A025,1,8,0,2
A025,2,9,0,2
A025,3,10,0,2
A025,4,11,0,2
A025,5,12,0,2
A025,6,13,0,2
A025,7,14,0,2
A025,8,15,0,2
A025,9,16,0,2
A025,10,17,0,2
A025,11,18,0,2
A025,12,19,0,2
A025,13,20,0,2
A025,14,21,0,2
A025,15,22,0,3
A025,16,23,0,3
A025,17,24,0,3
A025,18,25,0,3
A025,19,26,0,3
A025,20,27,0,3
A025,21,28,0,3
A025,22,29,0,3
A028,1,9,0,1
A028,2,10,0,1
A028,3,11,0,1
A031,1,1,0,1
A031,2,2,0,1
A031,3,3,0,1
A031,4,4,0,1
A031,5,5,0,1
A031,6,6,0,1
A031,7,7,0,1
A031,8,8,0,1
A031,9,9,0,1
A031,10,10,0,1
A031,11,11,0,1
A035,1,1,0,1
A035,2,2,0,1
A035,3,3,0,1
A035,4,4,0,1
A035,5,5,0,1
A035,6,6,0,1
A035,7,7,0,1
A036,1,22,1,1
A036,2,23,1,1
A036,3,24,1,1
A036,4,25,1,1
A036,5,26,0,1
A037,1,8,0,1
A037,2,9,0,1
A038,1,10,0,1
A038,2,11,0,1
A038,3,12,0,1
A038,4,13,0,1
A038,5,14,0,1
A038,6,15,0,1
A038,7,16,0,1
A038,8,17,0,1
A038,9,18,0,1
A038,10,19,0,1
A038,11,20,0,1
A038,12,21,0,1
A038,13,22,0,2
A038,14,23,0,2
A038,15,24,0,2
A038,16,25,0,2
A038,17,26,0,2
A039,1,8,0,2
A039,2,9,0,2
A039,3,10,0,2
A039,4,11,0,2
A039,5,12,0,2
A039,6,13,0,2
A039,7,14,0,2
A039,8,15,0,2
A039,9,16,0,2
A039,10,17,0,2
A039,11,18,0,2
A039,12,19,0,2
A039,13,20,0,2
A039,14,21,0,2
A040,1,13,0,1
A040,2,14,0,1
A040,3,15,0,1
A040,4,16,0,1
A040,5,17,0,1
A040,6,18,0,1
A040,7,22,0,1
A040,8,23,0,1
A040,9,24,0,1
A040,10,25,0,1
A040,11,26,0,1
A041,1,11,0,1
A041,2,12,0,1
A042,1,23,0,2
A042,2,24,0,2
A042,3,25,0,2
A042,4,26,0,2
A043,1,13,0,2
A043,2,14,0,2
A043,3,15,0,2
A046,1,9,0,1
A046,2,10,0,1
A046,3,11,0,2
A046,4,12,0,2
A046,5,13,0,3
A046,6,14,0,3
A046,7,15,0,3
A046,8,16,0,2
A046,9,17,0,2
A046,10,18,0,2
A046,11,22,0,2
A047,1,13,0,1
A047,2,14,0,1
A047,3,15,0,1
A047,4,16,0,1
A048,1,1,0,1
A048,2,2,0,1
A048,3,3,0,1
A048,4,4,0,1
A048,5,5,0,1
A048,6,6,0,1
A048,7,7,0,1
A049,1,8,0,1
A049,2,9,0,1
A049,3,10,0,1
A049,4,11,0,1
A049,5,12,0,1
A049,6,13,0,2
A049,7,14,0,2
A049,8,15,0,2
A049,9,16,0,2
A049,10,17,0,1
A049,11,18,0,1
A049,12,22,0,1
A049,13,23,0,1
A049,14,24,0,1
A049,15,25,0,1
A049,16,26,0,1
A049,17,28,0,1
A050,1,17,0,2
A050,2,18,0,2
A050,3,22,0,2
A050,4,23,0,2
A050,5,24,0,2
A050,6,25,0,2
A051,1,26,0,2
A051,2,27,0,1
A051,3,28,0,2
A054,1,17,0,1
A054,2,18,0,1
A054,3,20,0,1
A054,4,21,0,1
A054,5,22,0,1
A054,6,23,0,1
A054,7,24,0,1
