activity_id,week,location_id,co_share_group
A001,22,PLAT:BET:S15:EB,b1
A001,22,PLAT:BET:S16:EB,b1
A001,22,PLAT:BET:S17:EB,b1
A001,22,SEC:BET:S15_S16:EB,b1
A001,22,SEC:BET:S16_S17:EB,b1
A001,23,PLAT:BET:S15:EB,b1
A001,23,PLAT:BET:S16:EB,b1
A001,23,PLAT:BET:S17:EB,b1
A001,23,SEC:BET:S15_S16:EB,b1
A001,23,SEC:BET:S16_S17:EB,b1
A002,11,PLAT:BET:S11:WB,b1
A002,11,PLAT:BET:S12:WB,b1
A002,11,PLAT:BET:S13:WB,b1
A002,11,SEC:BET:S11_S12:WB,b1
A002,11,SEC:BET:S12_S13:WB,b1
A003,11,PLAT:BET:H01:EB,b1
A003,11,PLAT:BET:H02:EB,b1
A003,11,PLAT:BET:S15:EB,b1
A003,11,PLAT:BET:S16:EB,b1
A003,11,SEC:BET:H01_H02:EB,b1
A003,11,SEC:BET:H02_S15:EB,b1
A003,11,SEC:BET:S15_S16:EB,b1
A003,12,PLAT:BET:H01:EB,b1
A003,12,PLAT:BET:H02:EB,b1
A003,12,PLAT:BET:S15:EB,b1
A003,12,PLAT:BET:S16:EB,b1
A003,12,SEC:BET:H01_H02:EB,b1
A003,12,SEC:BET:H02_S15:EB,b1
A003,12,SEC:BET:S15_S16:EB,b1
A003,15,PLAT:BET:H01:EB,b1
A003,15,PLAT:BET:H02:EB,b1
A003,15,PLAT:BET:S15:EB,b1
A003,15,PLAT:BET:S16:EB,b1
A003,15,SEC:BET:H01_H02:EB,b1
A003,15,SEC:BET:H02_S15:EB,b1
A003,15,SEC:BET:S15_S16:EB,b1
A003,16,PLAT:BET:H01:EB,b1
A003,16,PLAT:BET:H02:EB,b1
A003,16,PLAT:BET:S15:EB,b1
A003,16,PLAT:BET:S16:EB,b1
A003,16,SEC:BET:H01_H02:EB,b1
A003,16,SEC:BET:H02_S15:EB,b1
A003,16,SEC:BET:S15_S16:EB,b1
A003,17,PLAT:BET:H01:EB,b1
A003,17,PLAT:BET:H02:EB,b1
A003,17,PLAT:BET:S15:EB,b1
A003,17,PLAT:BET:S16:EB,b1
A003,17,SEC:BET:H01_H02:EB,b1
A003,17,SEC:BET:H02_S15:EB,b1
A003,17,SEC:BET:S15_S16:EB,b1
A004,18,PLAT:ALP:H01:EB,b1
A004,18,PLAT:ALP:S03:EB,b1
A004,18,PLAT:ALP:S04:EB,b1
A004,18,SEC:ALP:S03_S04:EB,b1
A004,18,SEC:ALP:S04_H01:EB,b1
A004,20,PLAT:ALP:H01:EB,b1
A004,20,PLAT:ALP:S03:EB,b1
A004,20,PLAT:ALP:S04:EB,b1
A004,20,SEC:ALP:S03_S04:EB,b1
A004,20,SEC:ALP:S04_H01:EB,b1
A004,23,PLAT:ALP:H01:EB,b1
A004,23,PLAT:ALP:S03:EB,b1
A004,23,PLAT:ALP:S04:EB,b1
A004,23,SEC:ALP:S03_S04:EB,b1
A004,23,SEC:ALP:S04_H01:EB,b1
A006,4,PLAT:ALP:H01:WB,b1
A006,4,PLAT:ALP:H02:WB,b1
A006,4,PLAT:ALP:S03:WB,b1
A006,4,PLAT:ALP:S04:WB,b1
A006,4,SEC:ALP:H01_H02:WB,b1
A006,4,SEC:ALP:S03_S04:WB,b1
A006,4,SEC:ALP:S04_H01:WB,b1
A006,7,PLAT:ALP:H01:WB,b1
A006,7,PLAT:ALP:H02:WB,b1
A006,7,PLAT:ALP:S03:WB,b1
A006,7,PLAT:ALP:S04:WB,b1
